,0
0,Electronic
1,Electronic
2,Electronic
3,Electronic
4,Electronic
5,Electronic
6,Electronic
7,Electronic
8,Electronic
9,Electronic
10,Electronic
11,Electronic
12,Electronic
13,Electronic
14,Electronic
15,Electronic
16,Electronic
17,Electronic
18,Electronic
19,Electronic
20,Electronic
21,Electronic
22,Electronic
23,Electronic
24,Electronic
25,Electronic
26,Electronic
27,Electronic
28,Electronic
29,Electronic
30,Electronic
31,Electronic
32,Electronic
33,Electronic
34,Electronic
35,Electronic
36,Electronic
37,Electronic
38,Electronic
39,Electronic
40,Electronic
41,Electronic
42,Electronic
43,Electronic
44,Electronic
45,Electronic
46,Electronic
47,Electronic
48,Electronic
49,Electronic
50,Electronic
51,Electronic
52,Electronic
53,Electronic
54,Electronic
55,Electronic
56,Electronic
57,Electronic
58,Electronic
59,Electronic
60,Electronic
61,Electronic
62,Electronic
63,Electronic
64,Electronic
65,Electronic
66,Electronic
67,Electronic
68,Electronic
69,Electronic
70,Electronic
71,Electronic
72,Electronic
73,Electronic
74,Electronic
75,Electronic
76,Electronic
77,Electronic
78,Electronic
79,Electronic
80,Electronic
81,Electronic
82,Electronic
83,Electronic
84,Electronic
85,Electronic
86,Electronic
87,Electronic
88,Electronic
89,Electronic
90,Electronic
91,Electronic
92,Electronic
93,Electronic
94,Electronic
95,Electronic
96,Electronic
97,Electronic
98,Electronic
99,Electronic
100,Electronic
101,Electronic
102,Electronic
103,Electronic
104,Electronic
105,Electronic
106,Electronic
107,Electronic
108,Electronic
109,Electronic
110,Electronic
111,Electronic
112,Electronic
113,Electronic
114,Electronic
115,Electronic
116,Electronic
117,Electronic
118,Electronic
119,Electronic
120,Electronic
121,Electronic
122,Electronic
123,Electronic
124,Electronic
125,Electronic
126,Electronic
127,Electronic
128,Electronic
129,Electronic
130,Electronic
131,Electronic
132,Electronic
133,Electronic
134,Electronic
135,Electronic
136,Electronic
137,Electronic
138,Electronic
139,Electronic
140,Electronic
141,Electronic
142,Electronic
143,Electronic
144,Electronic
145,Electronic
146,Electronic
147,Electronic
148,Electronic
149,Electronic
150,Electronic
151,Electronic
152,Electronic
153,Electronic
154,Electronic
155,Electronic
156,Electronic
157,Electronic
158,Electronic
159,Electronic
160,Electronic
161,Electronic
162,Electronic
163,Electronic
164,Electronic
165,Electronic
166,Electronic
167,Electronic
168,Electronic
169,Electronic
170,Electronic
171,Electronic
172,Electronic
173,Electronic
174,Electronic
175,Electronic
176,Electronic
177,Electronic
178,Electronic
179,Electronic
180,Electronic
181,Electronic
182,Electronic
183,Electronic
184,Electronic
185,Electronic
186,Electronic
187,Electronic
188,Electronic
189,Electronic
190,Electronic
191,Electronic
192,Electronic
193,Electronic
194,Electronic
195,Electronic
196,Electronic
197,Electronic
198,Electronic
199,Electronic
200,Electronic
201,Electronic
202,Electronic
203,Electronic
204,Electronic
205,Electronic
206,Electronic
207,Electronic
208,Electronic
209,Electronic
210,Electronic
211,Electronic
212,Electronic
213,Electronic
214,Electronic
215,Electronic
216,Electronic
217,Electronic
218,Electronic
219,Electronic
220,Electronic
221,Electronic
222,Electronic
223,Electronic
224,Electronic
225,Electronic
226,Electronic
227,Electronic
228,Electronic
229,Electronic
230,Electronic
231,Electronic
232,Electronic
233,Electronic
234,Electronic
235,Electronic
236,Electronic
237,Electronic
238,Electronic
239,Electronic
240,Electronic
241,Electronic
242,Electronic
243,Electronic
244,Electronic
245,Electronic
246,Electronic
247,Electronic
248,Electronic
249,Electronic
250,Electronic
251,Electronic
252,Electronic
253,Electronic
254,Electronic
255,Electronic
256,Electronic
257,Electronic
258,Electronic
259,Electronic
260,Electronic
261,Electronic
262,Electronic
263,Electronic
264,Electronic
265,Electronic
266,Electronic
267,Electronic
268,Electronic
269,Electronic
270,Electronic
271,Electronic
272,Electronic
273,Electronic
274,Electronic
275,Electronic
276,Electronic
277,Electronic
278,Electronic
279,Electronic
280,Electronic
281,Electronic
282,Electronic
283,Electronic
284,Electronic
285,Electronic
286,Electronic
287,Electronic
288,Electronic
289,Electronic
290,Electronic
291,Electronic
292,Electronic
293,Electronic
294,Electronic
295,Electronic
296,Electronic
297,Electronic
298,Electronic
299,Electronic
300,Electronic
301,Electronic
302,Electronic
303,Electronic
304,Electronic
305,Electronic
306,Electronic
307,Electronic
308,Electronic
309,Electronic
310,Electronic
311,Electronic
312,Electronic
313,Electronic
314,Electronic
315,Electronic
316,Electronic
317,Electronic
318,Electronic
319,Electronic
320,Electronic
321,Electronic
322,Electronic
323,Electronic
324,Electronic
325,Electronic
326,Electronic
327,Electronic
328,Electronic
329,Electronic
330,Electronic
331,Electronic
332,Electronic
333,Electronic
334,Electronic
335,Electronic
336,Electronic
337,Electronic
338,Electronic
339,Electronic
340,Electronic
341,Electronic
342,Electronic
343,Electronic
344,Electronic
345,Electronic
346,Electronic
347,Electronic
348,Electronic
349,Electronic
350,Electronic
351,Electronic
352,Electronic
353,Electronic
354,Electronic
355,Electronic
356,Electronic
357,Electronic
358,Electronic
359,Electronic
360,Electronic
361,Electronic
362,Electronic
363,Electronic
364,Electronic
365,Electronic
366,Electronic
367,Electronic
368,Electronic
369,Electronic
370,Electronic
371,Electronic
372,Electronic
373,Electronic
374,Electronic
375,Electronic
376,Electronic
377,Electronic
378,Electronic
379,Electronic
380,Electronic
381,Electronic
382,Electronic
383,Electronic
384,Electronic
385,Electronic
386,Electronic
387,Electronic
388,Electronic
389,Electronic
390,Electronic
391,Electronic
392,Electronic
393,Electronic
394,Electronic
395,Electronic
396,Electronic
397,Electronic
398,Electronic
399,Electronic
400,Electronic
401,Electronic
402,Electronic
403,Electronic
404,Electronic
405,Electronic
406,Electronic
407,Electronic
408,Electronic
409,Electronic
410,Electronic
411,Electronic
412,Electronic
413,Electronic
414,Electronic
415,Electronic
416,Electronic
417,Electronic
418,Electronic
419,Electronic
420,Electronic
421,Electronic
422,Electronic
423,Electronic
424,Electronic
425,Electronic
426,Electronic
427,Electronic
428,Electronic
429,Electronic
430,Electronic
431,Electronic
432,Electronic
433,Electronic
434,Electronic
435,Electronic
436,Electronic
437,Electronic
438,Electronic
439,Electronic
440,Electronic
441,Electronic
442,Electronic
443,Electronic
444,Electronic
445,Electronic
446,Electronic
447,Electronic
448,Electronic
449,Electronic
450,Electronic
451,Electronic
452,Electronic
453,Electronic
454,Electronic
455,Electronic
456,Electronic
457,Electronic
458,Electronic
459,Electronic
460,Electronic
461,Electronic
462,Electronic
463,Electronic
464,Electronic
465,Electronic
466,Electronic
467,Electronic
468,Electronic
469,Electronic
470,Electronic
471,Electronic
472,Electronic
473,Electronic
474,Electronic
475,Electronic
476,Electronic
477,Electronic
478,Electronic
479,Electronic
480,Electronic
481,Electronic
482,Electronic
483,Electronic
484,Electronic
485,Electronic
486,Electronic
487,Electronic
488,Electronic
489,Electronic
490,Electronic
491,Electronic
492,Electronic
493,Electronic
494,Electronic
495,Electronic
496,Electronic
497,Electronic
498,Electronic
499,Electronic
500,Electronic
501,Electronic
502,Electronic
503,Electronic
504,Electronic
505,Electronic
506,Electronic
507,Electronic
508,Electronic
509,Electronic
510,Electronic
511,Electronic
512,Electronic
513,Electronic
514,Electronic
515,Electronic
516,Electronic
517,Electronic
518,Electronic
519,Electronic
520,Electronic
521,Electronic
522,Electronic
523,Electronic
524,Electronic
525,Electronic
526,Electronic
527,Electronic
528,Electronic
529,Electronic
530,Electronic
531,Electronic
532,Electronic
533,Electronic
534,Electronic
535,Electronic
536,Electronic
537,Electronic
538,Electronic
539,Electronic
540,Electronic
541,Electronic
542,Electronic
543,Electronic
544,Electronic
545,Electronic
546,Electronic
547,Electronic
548,Electronic
549,Electronic
550,Electronic
551,Electronic
552,Electronic
553,Electronic
554,Electronic
555,Electronic
556,Electronic
557,Electronic
558,Electronic
559,Electronic
560,Electronic
561,Electronic
562,Electronic
563,Electronic
564,Electronic
565,Electronic
566,Electronic
567,Electronic
568,Electronic
569,Electronic
570,Electronic
571,Electronic
572,Electronic
573,Electronic
574,Electronic
575,Electronic
576,Electronic
577,Electronic
578,Electronic
579,Electronic
580,Electronic
581,Electronic
582,Electronic
583,Electronic
584,Electronic
585,Electronic
586,Electronic
587,Electronic
588,Electronic
589,Electronic
590,Electronic
591,Electronic
592,Electronic
593,Electronic
594,Electronic
595,Electronic
596,Electronic
597,Electronic
598,Electronic
599,Electronic
600,Electronic
601,Electronic
602,Electronic
603,Electronic
604,Electronic
605,Electronic
606,Electronic
607,Electronic
608,Electronic
609,Electronic
610,Electronic
611,Electronic
612,Electronic
613,Electronic
614,Electronic
615,Electronic
616,Electronic
617,Electronic
618,Electronic
619,Electronic
620,Electronic
621,Electronic
622,Electronic
623,Electronic
624,Electronic
625,Electronic
626,Electronic
627,Electronic
628,Electronic
629,Electronic
630,Electronic
631,Electronic
632,Electronic
633,Electronic
634,Electronic
635,Electronic
636,Electronic
637,Electronic
638,Electronic
639,Electronic
640,Electronic
641,Electronic
642,Electronic
643,Electronic
644,Electronic
645,Electronic
646,Electronic
647,Electronic
648,Electronic
649,Electronic
650,Electronic
651,Electronic
652,Electronic
653,Electronic
654,Electronic
655,Electronic
656,Electronic
657,Electronic
658,Electronic
659,Electronic
660,Electronic
661,Electronic
662,Electronic
663,Electronic
664,Electronic
665,Electronic
666,Electronic
667,Electronic
668,Electronic
669,Electronic
670,Electronic
671,Electronic
672,Electronic
673,Electronic
674,Electronic
675,Electronic
676,Electronic
677,Electronic
678,Electronic
679,Electronic
680,Electronic
681,Electronic
682,Electronic
683,Electronic
